,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,STATUS
T1572,0,7.262,0,99.399,0,8.314,116.202,605.207,0,602.626,0,8.135,611.162,7.185,0,100.477,0,8.053,117.364,593.953,0,602.425,0,8.056,610.861,21.938,21.938,22.063,22.188,23.25,23.375,0.722,37.355,1995,36.634,1963.8,1930,1995,-15.426,0.72,28.009,0.175,5.399,-32.597,-30.494,47.487,39.692,1935,38.183,5.043,141.254,30.125,8.72,8.48,47.485,39.466,1935,38.134,5.07,142.012,31.875,-30.935,-28.307,47.496,40.48,1962.5,38.243,4.955,138.782,33.813,8.76,8.48,47.509,40.537,1962.5,38.201,4.963,139.005,35.438,-30.938,-27.833,47.489,41.64,1990,38.626,4.809,134.693,37.625,8.44,8.24,47.502,41.505,1990,38.573,4.839,135.541,39,0.715,39.309,2195.5,38.594,2119.45,2110,2200,-16.004,0.712,28.009,0.175,5.399,-35.012,-33.383,47.509,41.366,2115,39.821,4.864,136.229,35.313,8.92,8.64,47.492,41.38,2115,39.779,4.843,135.649,37,-33.911,-31.601,47.496,42.203,2155,40.062,4.753,133.115,39.188,8.72,8.48,47.513,42.192,2155,40.021,4.773,133.684,40.688,-35.944,-34.281,47.504,43.24,2195,39.905,4.647,130.157,43,8.2,8,47.489,42.955,2195,39.826,4.662,130.589,44.063,0,28.008,0.169,5.399,PASS
T1573,0,8.676,0,99.73,0,8.275,118.033,605.031,0,598.037,0,8.101,606.373,8.511,0,99.93,0,8.068,117.902,598.411,0,603.286,0,8.047,611.615,22,22.438,23.188,22,23.938,23.875,0.807,37.789,1995,36.982,1952.43,1930,1995,-15.631,0.717,28.008,0.175,5.399,-35.23,-32.733,47.495,40.446,1935,38.364,4.958,138.874,30.125,8.68,8.4,47.493,40.649,1935,38.342,4.931,138.124,31.688,-33.317,-30.429,47.489,41.324,1962.5,38.427,4.846,135.724,33.813,8.68,8.44,47.485,41.062,1962.5,38.362,4.873,136.488,35.375,-33.468,-29.614,47.488,42.581,1990,38.963,4.702,131.712,38.188,8.36,8.16,47.51,42.674,1990,38.917,4.716,132.09,39.5,0.568,38.715,2195.5,38.147,2119.45,2110,2200,-16.702,0.715,28.008,0.175,5.399,-34.796,-34.377,47.49,41.816,2115,39.481,4.79,134.162,35.563,8.8,8.52,47.495,40.929,2115,39.359,4.899,137.227,37.063,-33.626,-31.982,47.499,41.714,2155,39.599,4.812,134.776,39.375,8.76,8.52,47.499,41.591,2155,39.545,4.826,135.181,40.938,-34.586,-33.408,47.502,42.651,2195,39.525,4.71,131.914,42.5,8.36,8.12,47.496,42.542,2195,39.47,4.715,132.064,43.625,0,28.008,0.169,5.399,PASS
T1574,0,7.331,0,99.514,0,8.326,116.446,603.733,0,598.235,0,8.077,606.619,5.984,0,99.696,0,8.047,114.889,593.984,0,598.125,0,8.059,604.676,23,22.25,23.125,23.313,23.875,24,0.921,37.801,1995,36.88,1931.3,1930,1995,-16.775,0.713,28.008,0.175,5.399,-34.883,-32.484,47.498,40.77,1935,38.212,4.922,137.871,30.813,8.64,8.36,47.501,40.47,1935,38.152,4.962,138.975,32.625,-32.856,-29.984,47.496,41.5,1962.5,38.388,4.834,135.384,35.313,8.64,8.4,47.507,41.386,1962.5,38.32,4.859,136.083,36.625,-33.559,-29.679,47.49,42.75,1990,38.866,4.685,131.236,38.188,8.4,8.16,47.501,42.803,1990,38.838,4.692,131.415,39.375,0.915,39.137,2195.5,38.222,2110,2110,2200,-18.578,0.702,28.008,0.174,5.399,-34.958,-32.298,47.498,40.536,2115,39.579,4.951,138.665,36.063,8.96,8.64,47.496,40.555,2115,39.525,4.946,138.528,37.813,-34.643,-31.795,47.486,41.03,2155,39.76,4.877,136.602,40.25,8.92,8.64,47.497,40.84,2155,39.691,4.912,137.585,41.563,-35.746,-33.058,47.488,41.875,2195,39.677,4.781,133.91,43.188,8.48,8.24,47.508,41.778,2195,39.622,4.814,134.845,44.25,0,28.008,0.169,5.399,PASS
T1575,0,6.998,0,99.389,0,8.208,115.987,598.969,0,598.109,0,8.075,606.413,7.288,0,99.74,0,8.038,116.44,596.271,0,603.408,0,7.99,611.778,28.313,28.375,28.188,28.375,28.625,28.75,1.102,37.943,1995,36.84,1930,1930,1995,-15.223,0.697,28.006,0.177,5.4,-38.077,-34.102,47.501,42.022,1935,38.144,4.779,133.856,31.5,8.56,8.28,47.489,42.045,1935,38.132,4.763,133.411,33,-37.51,-32.592,47.487,41.576,1962.5,38.579,4.815,134.866,35.063,8.48,8.24,47.503,41.448,1962.5,38.535,4.848,135.782,36.438,-34.618,-29.862,47.511,42.334,1990,39.085,4.755,133.183,38.625,8.32,8.08,47.505,42.321,1990,39.059,4.75,133.019,40,0.871,39.718,2200,38.847,2110,2110,2200,-16.594,0.694,28.006,0.177,5.401,-36.604,-34.47,47.513,41.927,2115,40.003,4.804,134.535,36.438,8.92,8.6,47.503,41.998,2115,39.973,4.784,133.985,37.813,-36.418,-33.464,47.501,42.565,2155,40.151,4.718,132.151,40.688,8.64,8.36,47.491,42.266,2155,40.064,4.741,132.784,42,-35.736,-36.584,47.489,43.671,2195,39.895,4.586,128.439,43.563,8.16,7.92,47.501,43.728,2195,39.854,4.593,128.638,44.5,0,28.006,0.172,5.401,PASS
T1576,0,0.52,1200,100.359,1644,8.257,109.313,604.343,723,601.407,2146,8.083,609.89,0.451,1200,100.602,1646,8.116,109.389,604.454,769,598.341,2208,8.113,606.562,21.563,23.063,22,22.875,23.313,23.438,1.022,38.808,1994.35,37.786,1934.875,1930,1995,-14.827,0.702,28.007,0.176,5.401,-37.173,-39.126,47.488,43.062,1935,38.41,4.65,130.226,28.313,8.28,7.96,47.507,43.454,1935,38.407,4.628,129.627,30,-38.726,-35.168,47.511,43.694,1962.5,38.983,4.607,129.036,32.063,8.08,7.88,47.495,43.224,1962.5,38.908,4.64,129.96,33.438,-34.277,-30.758,47.506,44.283,1990,39.442,4.54,127.169,35.25,7.68,7.52,47.505,44.013,1990,39.389,4.567,127.926,36.375,0.744,39.456,2199.1,38.712,2110,2110,2200,-17.239,0.686,28.007,0.176,5.401,-35.955,-32.832,47.495,39.18,2115,40.232,5.119,143.365,33.188,8.68,8.4,47.494,39.117,2115,40.177,5.126,143.571,34.5,-35.185,-32.452,47.495,39.776,2155,40.302,5.042,141.205,36.875,8.36,8.12,47.494,39.353,2155,40.177,5.095,142.71,38.313,-37.627,-36.485,47.488,40.31,2195,39.802,4.967,139.109,40.313,7.88,7.68,47.499,40.14,2195,39.729,5,140.049,41.5,0,28.007,0.17,5.401,PASS
T1577,0,0.961,0,100.371,0,8.238,109.567,604.936,0,602.306,0,8.089,610.8,1.079,0,100.462,0,8.05,109.953,600.354,0,599.624,0,8.074,607.416,23,22.875,23.438,22.313,23.875,23.813,0.87,39.093,1995,38.223,1930.32,1930,1995,-16.924,0.707,28.008,0.176,5.399,-40.709,-39.512,47.507,43.126,1935,38.935,4.663,130.616,29.438,8.4,8.12,47.492,43.158,1935,38.919,4.643,130.048,30.75,-40.748,-34.897,47.485,43.447,1962.5,39.149,4.605,128.988,32.625,8.4,8.12,47.511,43.689,1962.5,39.122,4.607,129.048,34,-36.405,-32.074,47.501,44.883,1990,39.777,4.474,125.307,35.813,8,7.8,47.505,44.469,1990,39.698,4.52,126.614,37.125,1.243,40.828,2176.15,39.585,2110,2110,2200,-18.721,0.697,28.008,0.176,5.399,-32.804,-30.033,47.487,39.997,2115,41.269,5.005,140.186,33.438,8.88,8.6,47.507,39.635,2115,41.187,5.074,142.119,34.813,-36.437,-34.571,47.513,39.995,2155,41.559,5.035,141.021,37.438,8.4,8.16,47.509,39.789,2155,41.455,5.057,141.631,38.938,-39.163,-35.512,47.499,41.961,2195,40.898,4.783,133.975,40.75,7.88,7.68,47.49,41.675,2195,40.79,4.807,134.635,41.875,0,28.008,0.171,5.399,PASS
T1578,0,0.599,1200,100.356,1637,8.302,109.37,598.263,726,600.373,2061,8.086,608.781,0.641,1200,100.216,1639,8.08,109.081,605.159,779,602.601,2125,8.074,610.91,23.813,24.438,23.688,23.5,24.688,24.813,1.831,39.551,1995,37.72,1930,1930,1995,-14.674,0.708,28.008,0.175,5.399,-37.702,-35.764,47.514,43.943,1935,39.125,4.583,128.377,29.625,8.16,7.88,47.487,43.846,1935,39.098,4.565,127.873,31.063,-36.148,-35.098,47.508,44.268,1962.5,39.688,4.543,127.258,33.125,8.04,7.76,47.503,43.978,1962.5,39.64,4.569,127.965,34.563,-35.568,-34.525,47.49,43.69,1990,40.061,4.585,128.427,36.063,7.88,7.68,47.496,43.405,1990,39.997,4.621,129.442,37.313,1.326,41.587,2180.65,40.261,2110,2110,2200,-15.842,0.701,28.008,0.175,5.399,-36.106,-38.749,47.497,40.282,2115,40.914,4.981,139.504,34.188,8.24,7.96,47.501,40.066,2115,40.842,5.012,140.381,35.75,-35.791,-40.037,47.49,40.281,2155,41.491,4.973,139.3,38.5,8.28,8,47.488,39.93,2155,41.409,5.014,140.449,39.813,-31.746,-33.97,47.51,40.353,2195,41.302,4.987,139.679,41.563,8.12,7.84,47.486,40.217,2195,41.213,4.977,139.387,42.75,0,28.009,0.17,5.4,PASS
T1579,0,0.568,1200,100.404,1633,8.287,109.343,599.454,721,598.087,2213,8.119,606.471,0.339,1200,100.641,1661,8.137,109.232,598.46,783,603.035,2185,8.074,611.398,23.688,24.313,23.938,24.688,25.313,25.063,2.048,39.928,1995,37.88,1930,1930,1995,-14.913,0.695,28.006,0.17,5.4,-37.82,-34.924,47.499,42.784,1935,39.244,4.692,131.408,28.5,8.32,8.08,47.508,42.528,1935,39.219,4.73,132.461,30,-35.856,-32.129,47.497,43.115,1962.5,40.229,4.653,130.325,31.438,8.12,7.92,47.514,42.82,1962.5,40.191,4.704,131.744,32.813,-32.418,-29.612,47.502,43.608,1990,40.846,4.607,129.027,34.438,7.76,7.56,47.511,43.319,1990,40.81,4.647,130.141,36.063,0.785,40.95,2158.6,40.164,2110,2110,2200,-15.891,0.694,28.006,0.17,5.4,-38.001,-39.362,47.506,39.072,2115,40.886,5.146,144.133,32.813,8.12,7.84,47.486,38.648,2115,40.777,5.178,145.03,34.313,-38.209,-40.72,47.496,39.346,2155,41.288,5.098,142.784,36.688,8.32,8,47.497,38.949,2155,41.223,5.151,144.27,38.188,-33.753,-35.843,47.491,39.626,2195,40.67,5.056,141.616,40.063,8.24,7.96,47.487,39.564,2195,40.592,5.06,141.704,41.188,0,28.005,0.164,5.4,PASS
T1580,0,8.489,0,99.689,0,8.229,117.696,604.098,0,601.626,0,8.038,610.121,10.065,0,100.646,0,8.041,120.322,603.124,0,598.227,0,7.993,606.492,24.938,26.063,27.063,25.313,26.563,26.563,1.036,38.479,1995,37.443,1930,1930,1995,-15.782,0.705,28.006,0.177,5.401,-37.418,-33.761,47.486,43.23,1935,38.578,4.63,129.674,29,8.44,8.2,47.505,43.319,1935,38.567,4.64,129.954,30.688,-37.972,-32.972,47.496,42.966,1962.5,38.995,4.669,130.753,32.438,8.32,8.08,47.499,43.034,1962.5,38.952,4.664,130.636,33.75,-35.839,-31.015,47.497,43.47,1990,39.374,4.616,129.277,35.563,8.08,7.88,47.505,43.63,1990,39.334,4.607,129.042,36.688,0.9,39.223,2196.85,38.323,2125.3,2110,2200,-17.337,0.695,28.006,0.177,5.401,-35.948,-34.027,47.512,40.327,2115,39.625,4.993,139.836,33.563,8.96,8.64,47.493,40.187,2115,39.573,4.988,139.7,34.938,-35.165,-32.772,47.505,40.424,2155,39.852,4.972,139.261,37.25,8.96,8.64,47.507,39.948,2155,39.755,5.034,140.988,38.688,-36.787,-36.031,47.492,41.388,2195,39.689,4.842,135.612,40.625,8.64,8.32,47.501,41.471,2195,39.649,4.843,135.643,41.75,0,28.005,0.171,5.401,PASS
T1581,0,7.913,0,99.858,0,8.266,117.048,606.092,0,601.534,0,8.086,610.058,6.994,0,99.666,0,8.062,115.999,599.135,0,595.112,0,8.031,603.812,22.313,22.188,22.25,22.375,23.25,23.438,0.697,37.412,1995,36.715,1930.97,1930,1995,-16.965,0.719,28.008,0.174,5.399,-31.615,-29.685,47.504,39.856,1935,38.388,5.042,141.224,29.875,8.8,8.56,47.499,39.516,1935,38.318,5.08,142.274,31.5,-30.132,-27.882,47.512,40.671,1962.5,38.533,4.95,138.643,34.125,8.84,8.6,47.513,40.443,1962.5,38.474,4.979,139.459,35.813,-29.764,-27.119,47.502,42.225,1990,38.882,4.757,133.244,37.313,8.52,8.32,47.503,41.891,1990,38.839,4.796,134.345,38.625,0.637,39.78,2194.15,39.143,2121.7,2110,2200,-17.455,0.704,28.009,0.174,5.399,-35.67,-33.111,47.498,40.695,2115,40.429,4.931,138.11,35.063,8.84,8.56,47.501,40.723,2115,40.387,4.931,138.125,36.625,-33.655,-31,47.489,41.793,2155,40.596,4.792,134.226,38.75,8.56,8.36,47.495,41.186,2155,40.502,4.87,136.393,39.938,-36.772,-34.229,47.505,42.746,2195,40.44,4.702,131.698,41.938,8,7.8,47.502,42.558,2195,40.384,4.72,132.21,42.875,0,28.009,0.169,5.399,PASS
T1582,0,1.602,1200,100.17,1591,7.698,109.915,604.238,724,597.986,2144,7.518,605.73,0.92,1200,100.019,1632,7.479,108.619,597.529,770,603.222,2077,7.464,610.966,23.5,24.25,23.375,24.125,24.563,24.688,1.354,38.147,1994.025,36.794,1930.975,1930,1995,-15.783,0.697,28.007,0.175,5.401,-38.436,-35.438,47.5,41.414,1935,37.62,4.848,135.786,29.438,8.36,8.12,47.492,41.17,1935,37.64,4.867,136.328,30.938,-36.258,-30.906,47.491,40.989,1962.5,38.319,4.888,136.905,32.938,8.16,7.96,47.504,40.209,1962.5,38.283,4.998,139.997,34.375,-33.306,-29.777,47.501,41.614,1990,38.713,4.826,135.165,36.25,8,7.8,47.496,41.699,1990,38.776,4.81,134.719,37.625,1.476,40.234,2189.65,38.758,2110.45,2110,2200,-16.562,0.694,28.007,0.175,5.401,-36.999,-38.687,47.498,38.683,2115,39.383,5.188,145.319,34.25,8.28,8,47.493,38.784,2115,39.347,5.168,144.752,35.938,-36.432,-38.35,47.486,40.239,2155,40.019,4.973,139.287,37.813,8.16,7.92,47.49,39.826,2155,39.923,5.029,140.858,39.25,-31.132,-33.508,47.49,40.1,2195,39.769,4.995,139.906,40.875,7.96,7.64,47.493,39.971,2195,39.7,5.015,140.453,42.125,0,28.007,0.17,5.401,PASS
T1583,0,7.396,0,99.682,0,8.268,116.808,599.615,0,600.371,0,8.066,608.11,6.524,0,99.443,0,8.014,115.16,602.738,0,601.541,0,8.029,609.967,23.25,23.125,23.75,23.375,24.375,23.938,0.834,37.974,1991.1,37.14,1930,1930,1995,-15.543,0.702,28.006,0.177,5.401,-37.203,-33.486,47.505,43.1,1935,38.128,4.664,130.614,30.125,8.36,8.08,47.507,43.044,1935,38.115,4.672,130.856,31.75,-36.692,-32.155,47.504,42.833,1962.5,38.504,4.692,131.419,33.5,8.2,7.96,47.499,42.73,1962.5,38.434,4.698,131.571,35,-32.714,-29.033,47.511,43.238,1990,38.914,4.656,130.4,36.375,7.8,7.64,47.504,42.971,1990,38.853,4.677,130.991,37.688,0.435,39.048,2199.55,38.612,2143.75,2110,2200,-17.095,0.696,28.006,0.177,5.4,-33.298,-30.763,47.493,39.051,2115,40.318,5.134,143.783,34.25,8.96,8.68,47.508,38.766,2115,40.252,5.189,145.326,35.563,-32.375,-29.72,47.486,38.961,2155,40.234,5.137,143.872,37.625,8.68,8.44,47.501,38.512,2155,40.109,5.216,146.064,39.188,-36.096,-32.286,47.488,41.299,2195,39.952,4.848,135.776,40.875,8.16,7.96,47.511,41.011,2195,39.862,4.908,137.455,42.125,0,28.006,0.172,5.401,PASS
T1584,0,6.074,0,99.963,0,8.265,115.338,599.223,0,602.039,0,8.048,610.48,5.986,0,99.855,0,8.02,114.52,593.88,0,600.591,0,8.041,607.334,24.063,23.563,23.375,23.813,23.063,23.25,1.835,38.223,1995,36.388,1930,1930,1995,-14.968,0.703,28.006,0.169,5.401,-33.295,-30.177,47.492,41.584,1935,37.76,4.819,134.975,29,8.56,8.32,47.493,41.376,1935,37.692,4.846,135.705,30.5,-33.14,-29.395,47.494,41.639,1962.5,38.492,4.815,134.858,32.625,8.36,8.16,47.504,41.522,1962.5,38.427,4.84,135.567,34.063,-31.018,-27.624,47.512,42.697,1990,39.138,4.716,132.074,36.125,8.08,7.92,47.509,42.018,1990,39.035,4.788,134.11,37.25,1.124,39.375,2200,38.251,2122.15,2110,2200,-17.831,0.695,28.006,0.169,5.401,-33.032,-31.196,47.492,40.231,2115,39.688,4.981,139.51,34.625,8.76,8.56,47.498,40.063,2115,39.621,5.01,140.314,36.188,-32.746,-29.824,47.508,40.795,2155,40.062,4.931,138.105,38.125,8.4,8.24,47.502,40.603,2155,39.981,4.947,138.546,39.438,-36.006,-32.254,47.499,42.824,2195,40.148,4.688,131.294,40.813,7.88,7.76,47.506,42.505,2195,40.059,4.731,132.495,41.875,0,28.006,0.163,5.401,PASS
T1585,0,0.371,1200,100.232,1647,8.283,109.067,605.472,732,603.751,2094,8.054,612.104,0.278,1200,100.087,1684,8.02,108.466,599.377,756,599.275,2216,8.057,607.557,23.188,23.688,24.813,23,24.563,24.313,1.653,39.15,1995,37.498,1930,1930,1995,-14.512,0.691,28.006,0.178,5.401,-37.948,-38.926,47.494,40.879,1935,38.501,4.905,137.371,29.313,8.16,7.88,47.487,41.307,1935,38.542,4.846,135.736,30.688,-38.252,-37.501,47.514,39.939,1962.5,39.238,5.044,141.27,32.563,8.2,7.88,47.489,40.621,1962.5,39.252,4.931,138.09,34.25,-36.24,-33.452,47.486,40.654,1990,39.865,4.923,137.89,35.938,8.04,7.8,47.5,40.459,1990,39.812,4.962,138.984,37.125,0.285,39.778,2117.2,39.494,2146,2110,2200,-15.116,0.681,28.006,0.178,5.401,-33.841,-33.767,47.499,37.11,2115,40.125,5.41,151.514,33.75,7.64,7.32,47.487,37.06,2115,40.03,5.401,151.276,35.313,-39.018,-40.993,47.485,37.643,2155,40.026,5.316,148.884,38.125,8.08,7.76,47.486,37.535,2155,39.94,5.332,149.345,39.688,-34.46,-37.405,47.491,38.526,2195,39.479,5.201,145.666,41.813,8.04,7.76,47.495,38.281,2195,39.384,5.239,146.72,43.125,0,28.006,0.171,5.401,PASS
T1586,0,0.995,1200,100.413,1599,8.242,109.716,600.773,786,603.959,2162,8.089,610.376,0.484,1200,100.257,1641,8.023,109.064,598.191,773,601.566,2180,8.068,610.103,23.875,22.375,23.75,23,24,23.813,1.302,38.624,1995,37.322,1931.3,1930,1995,-13.923,0.702,28.007,0.176,5.401,-39.361,-40.62,47.51,42.159,1935,38.037,4.773,133.686,29.5,8.48,8.16,47.495,41.973,1935,37.994,4.778,133.822,31.188,-38.671,-35.04,47.503,42.352,1962.5,38.686,4.744,132.875,32.813,8.4,8.16,47.5,42.22,1962.5,38.611,4.755,133.182,34.438,-36.697,-31.971,47.504,43.095,1990,39.282,4.663,130.597,36.25,8.16,7.96,47.507,43.169,1990,39.26,4.659,130.477,37.438,0.996,40.2,2199.1,39.204,2110,2110,2200,-13.657,0.692,28.007,0.176,5.401,-40.314,-41.367,47.5,37.529,2115,40.259,5.35,149.834,34.313,8.48,8.16,47.498,37.612,2115,40.186,5.336,149.453,35.938,-36.939,-37.206,47.51,38.655,2155,40.556,5.206,145.797,39.375,8.4,8.12,47.495,38.231,2155,40.441,5.246,146.924,40.938,-33.104,-33.745,47.485,39.026,2195,40.265,5.127,143.607,42.813,8.08,7.8,47.5,38.801,2195,40.168,5.175,144.932,43.938,0,28.007,0.17,5.401,PASS
T1587,0,4.74,0,99.915,0,7.709,113.031,598.104,0,601.984,0,7.575,608.663,4.647,0,99.581,0,7.457,112.602,593.251,0,603.462,0,7.499,611.335,22.938,23.063,22.375,22.438,23.5,23.313,0.915,37.929,1995,37.014,1960.22,1930,1995,-15.388,0.715,28.008,0.172,5.399,-36.358,-32.855,47.497,41.529,1935,38.091,4.831,135.302,29.813,8.52,8.28,47.491,41.847,1935,38.085,4.787,134.093,31.375,-34.489,-30.212,47.488,42.55,1962.5,38.117,4.705,131.789,33.438,8.44,8.24,47.489,42.482,1962.5,38.083,4.714,132.034,34.875,-33.211,-29.233,47.488,44.046,1990,38.772,4.546,127.321,36.313,8.08,7.88,47.503,43.899,1990,38.73,4.577,128.202,37.625,0.467,39.239,2191,38.772,2119.45,2110,2200,-16.245,0.707,28.008,0.172,5.399,-36.191,-35.402,47.501,41.498,2115,39.514,4.839,135.536,34.063,8.76,8.44,47.5,41.503,2115,39.484,4.837,135.487,35.438,-36.073,-34.159,47.502,42.62,2155,39.807,4.713,132.004,37.563,8.64,8.4,47.497,42.057,2155,39.688,4.77,133.615,39.063,-36.358,-36.437,47.505,43.124,2195,39.447,4.661,130.555,41.188,8.2,7.96,47.513,42.828,2195,39.394,4.702,131.7,42.25,0,28.008,0.167,5.399,PASS
T1588,0,6.519,0,99.684,0,8.332,115.847,600.534,0,604.258,0,8.107,612.844,8.028,0,99.505,0,8.047,117.3,592.977,0,601.835,0,8.056,610.232,23.25,21.875,21.938,22,23.438,23.25,1.572,38.093,1995,36.522,1930,1930,1995,-14.762,0.723,28.008,0.175,5.399,-38.088,-36.164,47.488,39.403,1935,37.708,5.082,142.332,29.938,8.32,8.04,47.496,39.505,1935,37.667,5.078,142.229,31.875,-35.449,-32.478,47.494,39.869,1962.5,38.263,5.029,140.857,34.375,8.56,8.28,47.496,39.601,1962.5,38.171,5.065,141.868,36.313,-34.781,-31.286,47.501,40.746,1990,39.063,4.928,138.029,38.438,8.44,8.2,47.504,40.583,1990,39.005,4.951,138.683,39.813,0.569,38.652,2195.5,38.083,2116.3,2110,2200,-16.662,0.708,28.008,0.175,5.399,-32.516,-31.411,47.49,39.783,2115,39.633,5.035,141.038,35.625,8.84,8.56,47.512,40.067,2115,39.606,5.025,140.743,37.25,-31.197,-29.903,47.501,40.344,2155,39.728,4.978,139.413,39.75,8.96,8.68,47.491,40.416,2155,39.663,4.958,138.864,41.188,-32.538,-31.898,47.511,41.381,2195,39.462,4.864,136.233,42.938,8.72,8.4,47.49,41.134,2195,39.422,4.869,136.38,44.125,0,28.008,0.17,5.399,PASS
T1589,0,6.03,0,99.863,0,8.238,115.071,600.005,0,603.665,0,8.101,612.22,6.1,0,99.836,0,8.08,114.931,606.424,0,601.848,0,8.065,608.961,21.75,22,22.063,21.688,23.188,23,0.851,37.832,1994.68,36.981,1951.45,1930,1995,-15.21,0.72,28.008,0.172,5.399,-33.705,-31.282,47.503,41.018,1935,38.395,4.898,137.184,29.688,8.72,8.44,47.504,41.152,1935,38.358,4.884,136.788,31.375,-32.796,-29.083,47.502,42.061,1962.5,38.446,4.775,133.75,33.25,8.64,8.4,47.486,41.907,1962.5,38.401,4.775,133.742,34.938,-32.485,-29.232,47.488,43.579,1990,38.903,4.594,128.684,36.375,8.24,8.04,47.504,43.401,1990,38.86,4.63,129.674,37.688,1.207,40.197,2192.8,38.99,2110,2110,2200,-14.675,0.709,28.008,0.172,5.399,-37.08,-35.437,47.507,41.141,2115,40.017,4.888,136.901,33.813,8.8,8.52,47.505,41.092,2115,39.987,4.891,136.992,35.375,-35.925,-33.774,47.501,41.444,2155,40.646,4.845,135.716,37.438,8.72,8.48,47.5,40.906,2155,40.535,4.908,137.461,39.063,-33.812,-32.928,47.492,42.434,2195,40.697,4.723,132.278,40.75,8.36,8.16,47.499,42.108,2195,40.603,4.766,133.504,41.75,0,28.008,0.166,5.4,PASS
T1590,0,9.428,0,100.044,0,8.253,119.015,596.588,0,597.686,0,8.093,605.912,8.553,0,99.939,0,7.999,117.584,599.259,0,603.401,0,8.029,611.754,38.813,40.25,39.375,39.125,40.25,40.375,1.079,37.834,1995,36.755,1930,1930,1995,-16.248,0.701,28.007,0.171,5.401,-38.282,-35.156,47.493,42.552,1935,37.728,4.711,131.935,36.063,8.32,8.08,47.498,42.478,1935,37.709,4.725,132.331,37.813,-38.842,-34.703,47.496,42.593,1962.5,38.01,4.709,131.891,39.688,8.28,8.04,47.506,42.291,1962.5,37.945,4.755,133.167,41,-37.422,-33.19,47.492,43.08,1990,38.395,4.652,130.301,42.688,8.12,7.88,47.499,42.862,1990,38.341,4.684,131.172,43.688,0.474,39.343,2198.2,38.869,2143.75,2110,2200,-15.148,0.701,28.006,0.171,5.4,-34.396,-32.04,47.499,40.445,2115,40.206,4.963,138.993,39.438,8.72,8.48,47.51,40.417,2115,40.165,4.979,139.453,40.563,-31.856,-29.255,47.51,40.984,2155,40.325,4.91,137.522,42.688,8.28,8.12,47.498,40.657,2155,40.222,4.936,138.241,43.813,-35.367,-32.372,47.506,43.24,2195,40.032,4.65,130.235,45.5,7.72,7.56,47.498,43.058,2195,39.966,4.661,130.544,46.563,0,28.006,0.165,5.401,PASS
T1591,0,5.912,0,99.988,0,8.296,115.202,605.779,0,603.259,0,8.11,611.74,6.86,0,99.681,0,8.104,115.679,601.942,0,597.669,0,8.022,606.026,21.75,21.25,22.375,21.625,23.438,23.438,0.553,37.089,1995,36.537,1963.8,1930,1995,-17.135,0.719,28.008,0.175,5.399,-33.205,-31.533,47.501,39.284,1935,38.017,5.112,143.169,29.625,8.76,8.52,47.503,39.178,1935,37.992,5.128,143.622,31.063,-31.066,-28.892,47.496,40.173,1962.5,38.105,4.993,139.847,34.063,8.76,8.56,47.51,39.951,1962.5,38.036,5.037,141.078,35.563,-31.426,-27.972,47.491,41.316,1990,38.449,4.849,135.819,37.438,8.48,8.28,47.512,41.565,1990,38.434,4.843,135.66,38.75,0.79,39.22,2195.5,38.431,2110,2110,2200,-18.434,0.701,28.008,0.175,5.399,-32.156,-29.64,47.486,41.937,2115,40.072,4.773,133.676,34.875,8.92,8.68,47.508,41.999,2115,40.044,4.79,134.151,36.313,-32.62,-29.675,47.506,42.814,2155,40.17,4.696,131.518,38.438,8.56,8.36,47.489,42.579,2155,40.092,4.703,131.738,39.75,-37.55,-34.451,47.487,43.96,2195,40.007,4.553,127.535,41.188,8,7.8,47.506,43.781,2195,39.934,4.592,128.631,42.313,0,28.008,0.169,5.399,PASS
